,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
1984,ZBL=/,,,,,,,,,,,,,,,,,
1985,ZBL[,,,,,,,,,,,,,,,,,
1986,ZG/,,,,,,,,,,,,,,,,,
1987,ZD/,,,,,,,,,,,,,,,,,
1988,ZDWN/,,,,,,,,,,,,,,,,,
1989,ZH,"denne, dette",,,,,,,,,,,,,,,,
1990,ZH=,"denne, dette",,,,,,,,,,,,,,,,
1991,ZHB/,guld,,,,,,,,,,,,,,,,
1992,ZHM/,,,,,,,,,,,,,,,,,
1993,ZHM[,,,,,,,,,,,,,,,,,
1994,ZHR/,,,,,,,,,,,,,,,,,
1995,ZHR=[,,,,,,,,,,,,,,,,,
1996,ZHR[,,,,,,,,,,,,,,,,,
1997,ZW,"denne, som",,,,,,,,,,,,,,,,
1998,ZW/,,,,,,,,,,,,,,,,,
1999,ZW=,denne,,,,,,,,,,,,,,,,
2000,ZWB/,,,,,,,,,,,,,,,,,
2001,ZWB[,,flyde,,,,,,,,,,,,,,,
